date,temp_max,temp_min,temp_mean,humidity_max,humidity_min,precipitation,wind_speed_max,wind_direction,pressure_mean,cloud_cover,evapotranspiration
2011-02-14,31.5265,18.376501,24.27442,77.044,26.925863,0.0,12.096214,190.18398,973.4836,1.0416666,5.1169024
2011-02-15,31.2765,18.0265,24.364,87.39862,21.1812,0.0,8.39657,178.53122,975.5722,77.25,4.908437
2011-02-16,31.976501,18.376501,24.534836,89.8517,22.786028,0.0,7.42159,162.8972,976.7725,24.208334,4.8533688
2011-02-17,32.0265,18.1765,25.25358,65.67415,29.979977,0.0,6.638072,181.84755,975.56323,15.916667,4.809162
2011-02-18,30.226501,19.7765,24.866083,75.489624,43.030277,0.0,7.2359104,323.9725,974.9595,47.541668,3.294606
2011-02-19,32.1265,17.0765,25.059835,95.95849,30.790869,0.0,7.5685663,0.49821252,975.909,4.0,4.50313
2011-02-20,33.676502,17.2765,25.728584,84.15895,26.003788,0.0,6.6185193,2.06376,976.1091,9.125,4.7833776
2011-02-21,32.4765,17.126501,25.339003,87.74233,33.894737,0.0,6.8777895,73.10118,975.52997,49.625,4.3116198
2011-02-22,32.8765,21.876501,26.470253,86.3159,29.7085,0.0,11.480557,137.04924,974.9428,21.333334,4.92489
2011-02-23,34.1265,21.126501,27.051498,91.74422,21.533066,0.0,5.937272,150.94551,974.8549,22.958334,4.9178095
2011-02-24,33.6265,20.6765,26.52025,81.99327,21.699274,0.0,6.8399997,116.075294,974.572,33.458332,4.805173
2011-02-25,34.0765,20.226501,27.164003,68.033,23.32501,0.0,5.771239,142.88306,973.3911,36.958332,4.966272
2011-02-26,32.676502,22.126501,26.580666,78.00591,35.00374,0.0,13.18308,123.45012,974.0529,34.458332,4.2114844
2011-02-27,31.376501,22.476501,26.624418,90.98761,44.993004,0.0,6.28713,186.7661,975.639,71.541664,3.8573909
2011-02-28,34.6265,23.2765,28.309835,77.62591,29.209131,0.0,6.6185193,228.53244,974.1198,38.333332,4.688203
2011-03-01,34.6265,23.226501,28.305664,73.73153,31.184557,0.0,9.178235,126.45481,973.014,18.541666,4.8064523
2011-03-02,33.3265,22.976501,26.876501,87.77294,37.257816,0.2,15.530151,140.83481,974.3171,57.0,4.363291
2011-03-03,31.9265,22.5265,26.486921,92.39118,44.878242,0.0,6.924738,131.18582,974.8379,28.833334,4.0102434
2011-03-04,31.9265,21.2765,25.98275,95.19908,45.41678,0.3,8.942214,144.9363,974.0279,38.25,3.664204
2011-03-05,34.1265,22.626501,27.480667,89.32424,29.86698,0.0,10.495713,150.12076,974.0732,38.333332,5.083907
2011-03-06,36.2765,22.4265,28.972334,82.396996,22.939257,0.0,8.287822,153.7414,974.1594,19.875,5.6065784
2011-03-07,36.2265,23.0265,29.361917,67.78502,20.777277,0.0,10.948973,153.69606,973.84766,37.375,5.706648
2011-03-08,35.5265,22.6765,28.768167,70.9001,23.078367,0.0,13.551501,146.3723,972.8923,51.541668,6.044322
2011-03-09,33.7265,22.7765,27.516088,92.38567,31.140636,0.0,13.584932,152.93245,976.2068,55.75,4.9144273
2011-03-10,33.0265,21.5765,26.826494,94.625305,40.19529,1.2,7.69592,163.08105,977.4427,42.5,4.075678
2011-03-11,32.0265,22.1765,26.847336,85.75338,43.24634,0.1,8.049845,187.28882,976.4162,42.125,3.817936
2011-03-12,31.976501,22.7765,25.930664,96.41998,42.96162,1.5,7.289444,171.87003,975.6236,67.583336,3.162311
2011-03-13,30.8265,20.9265,25.484835,99.3908,41.70621,0.0,6.2145634,337.38022,975.92773,86.916664,3.3212018
2011-03-14,29.5765,23.0765,26.00775,83.0397,44.37759,0.0,6.8777895,338.41205,975.2563,87.333336,2.763746
2011-03-15,26.226501,20.726501,22.703585,96.97068,69.80456,17.9,4.6800003,38.32011,976.7194,99.166664,1.770435
2011-03-16,20.226501,15.2265,17.757753,96.92148,89.05678,24.399998,12.0694,11.347407,978.85016,99.583336,0.70537966
2011-03-17,16.0265,13.9765,15.03275,97.12243,85.67492,28.7,5.5887027,46.909126,980.54956,98.041664,0.9016783
2011-03-18,22.1765,13.3265,17.618168,99.35314,60.904224,0.0,6.439876,317.86246,978.4809,62.916668,2.7299201
2011-03-19,26.2765,13.5765,20.361917,99.67584,53.98073,0.0,8.707237,120.28235,975.56024,20.458334,4.619887
2011-03-20,29.626501,18.376501,24.003584,90.74974,50.05641,0.0,7.5685663,140.19447,973.8396,0.9166667,5.0897636
2011-03-21,31.6765,20.0765,25.597336,91.12357,42.15405,0.0,9.422101,144.64958,973.51904,37.791668,5.435053
2011-03-22,32.4765,20.976501,26.532751,89.79818,43.914467,0.0,5.634891,141.51973,974.3755,17.583334,5.318351
2011-03-23,31.726501,17.4265,25.424417,93.858376,45.96175,0.0,10.24578,139.56332,975.27094,84.833336,4.9954467
2011-03-24,30.0765,21.376501,25.48275,94.91148,54.926014,0.2,7.7043357,140.96448,976.1136,56.333332,4.2494707
2011-03-25,26.5765,21.226501,24.001503,91.72921,61.50731,0.4,9.726664,137.0257,977.186,71.166664,2.6602566
2011-03-26,28.726501,20.7765,24.682749,95.184845,49.992867,0.0,10.587918,146.0409,977.4812,55.0,3.6647966
2011-03-27,26.8265,20.0265,23.318167,81.492455,52.928734,0.0,12.229406,126.10334,978.0654,65.458336,2.9743333
2011-03-28,23.476501,19.5765,21.216085,75.59681,56.472553,0.0,7.386582,102.1509,979.6084,97.375,1.8239161
2011-03-29,25.376501,18.4265,20.672337,79.35605,47.850796,0.0,8.089993,92.13231,981.48334,71.583336,2.8427298
2011-03-30,25.376501,17.3265,20.957752,82.01695,45.267574,0.0,7.9932976,136.16917,980.5037,64.541664,3.1452234
2011-03-31,27.9265,17.0765,22.655668,83.054886,45.083363,0.0,7.24486,178.22397,977.8619,66.125,4.5031376
2011-04-01,30.4265,19.626501,24.520248,82.409096,44.74334,0.0,7.9932976,145.50797,975.27936,62.0,4.707078
2011-04-02,31.5765,21.1765,26.395254,84.85281,42.1813,0.0,7.10031,160.01665,974.5981,39.458332,4.4632077
2011-04-03,34.2265,22.126501,27.52442,81.2905,24.315193,0.0,9.255571,333.6129,973.96515,15.875,5.499119
2011-04-04,34.0265,22.8265,27.995253,72.35052,31.1951,0.0,9.290511,40.91431,973.96344,60.958332,5.0170507
2011-04-05,33.6265,22.376501,28.04525,76.18877,34.10172,0.0,9.931042,145.33263,974.7451,74.208336,5.0477943
2011-04-06,33.5265,22.5765,27.772333,89.610176,39.86878,0.0,9.085988,145.77718,974.8479,80.916664,4.719585
2011-04-07,33.3265,23.626501,28.189001,88.29872,41.836845,0.0,7.653705,143.7581,974.9493,51.708332,4.6069717
2011-04-08,34.676502,23.726501,28.405668,89.9395,37.979935,0.2,7.491114,141.65439,975.77374,44.375,4.791251
2011-04-09,32.7265,22.876501,26.826506,90.43146,47.241352,2.6,9.504272,120.60946,978.02344,79.083336,3.947823
2011-04-10,31.376501,22.226501,26.726501,93.22268,54.90625,2.2,5.04,76.26376,978.7312,95.5,3.5934525
2011-04-11,33.1265,21.9265,27.418167,99.69534,44.62777,0.3,3.2599385,359.99997,976.0057,60.125,4.3754907
2011-04-12,31.376501,22.376501,26.634834,95.82669,52.75506,2.4,7.729527,133.24919,975.5402,59.875,3.6451473
2011-04-13,31.876501,21.9265,25.745249,94.93394,51.754448,0.5,9.511088,132.8524,977.0784,71.5,3.885553
2011-04-14,33.1265,20.976501,26.741081,98.17122,45.328365,0.2,7.24486,212.19566,974.99,35.458332,4.802574
2011-04-15,34.5765,23.876501,28.393167,81.180626,38.339886,0.70000005,11.27553,206.56496,973.31055,28.541666,5.093917
