feature,importance
sin_month,0.74461585
alert_lag7,0.029937705
pm25_lag1,0.02755952
hotspot_7d_roll,0.026240889
lag1_x_temp,0.015172464
hotspot_14d_roll,0.014701378
hotspot_50km,0.012466209
precipitation,0.0070186653
hotspot_100km,0.0069026104
week,0.0062825773
pm25_lag3,0.0062237233
day_of_year,0.0060020485
roll7_x_fire,0.005613852
humidity_min,0.0050622458
pm25_roll14_mean,0.004649817
pm25_roll3_mean,0.004572397
cloud_cover,0.0045092986
alert_lag3,0.0044194288
temp_min,0.0043341974
pm25_roll14_std,0.004333469
pm25_roll7_std,0.003645288
precip_flag,0.0034641605
pm25_lag7,0.003406189
pm25_roll30_mean,0.0032772208
pm25_lag30,0.0031307468
pm25_roll7_mean,0.0030539115
month,0.002903655
mean_frp_50km,0.0029031846
temp_mean,0.00286045
pm25_lag14,0.002745279
humidity_max,0.0025929308
sin_doy,0.0024156328
wind_dir_sin,0.0023303824
lag1_x_wind,0.0023226186
wind_speed,0.0023222663
cos_doy,0.0023157767
evapotranspiration,0.0022075989
temp_max,0.002179764
is_haze_season,0.0021366645
pressure,0.0020857947
humidity_wind,0.0020373594
wind_dir_cos,0.001871969
cos_month,0.0008528296
fire_flag,0.0001857533
alert_lag1,0.00013423817
