feature,importance
pressure,1812
pm25_roll14_std,1551
pm25_roll7_std,1493
pm25_roll14_mean,1476
pm25_roll30_mean,1457
humidity_max,1444
pm25_roll7_mean,1372
pm25_lag14,1361
pm25_lag30,1351
wind_dir_sin,1351
temp_mean,1307
wind_dir_cos,1261
cloud_cover,1256
sin_doy,1244
humidity_min,1203
temp_min,1201
temp_max,1162
pm25_roll3_mean,1159
evapotranspiration,1152
wind_speed,1136
lag1_x_wind,1118
pm25_lag7,1113
humidity_wind,1086
day_of_year,987
cos_doy,987
lag1_x_temp,949
pm25_lag3,908
hotspot_14d_roll,829
pm25_lag1,765
precipitation,720
hotspot_7d_roll,660
mean_frp_50km,637
week,515
hotspot_100km,444
roll7_x_fire,385
hotspot_50km,202
sin_month,140
month,100
cos_month,69
alert_lag3,16
precip_flag,14
alert_lag1,10
fire_flag,9
alert_lag7,7
is_haze_season,1
