feature,importance
pressure,1179
pm25_roll14_std,1140
wind_dir_sin,1083
wind_dir_cos,1029
cloud_cover,1007
temp_min,1004
pm25_roll7_std,968
wind_speed,963
pm25_roll14_mean,958
humidity_max,954
pm25_lag30,946
temp_mean,927
sin_doy,926
temp_max,911
humidity_min,885
humidity_wind,880
pm25_roll30_mean,859
pm25_lag14,852
evapotranspiration,822
pm25_lag7,813
pm25_roll7_mean,804
lag1_x_wind,767
day_of_year,733
lag1_x_temp,721
pm25_lag3,716
pm25_roll3_mean,698
precipitation,673
cos_doy,639
pm25_lag1,588
hotspot_14d_roll,440
hotspot_7d_roll,395
mean_frp_50km,368
week,330
hotspot_100km,330
roll7_x_fire,235
hotspot_50km,121
sin_month,83
month,82
cos_month,46
precip_flag,22
alert_lag1,9
fire_flag,6
alert_lag7,4
alert_lag3,2
is_haze_season,0
